大宝,j0701-05-03,j0704-06-16,,,,,,,
慶雲,j0704-06-16,j0708-02-07,,,,,,,
和銅,j0708-02-07,j0715-10-03,,,,,,,
霊亀,j0715-10-03,j0717-12-24,,,,,,,
養老,j0717-12-24,j0724-03-03,,,,,,,
神亀,j0724-03-03,j0729-09-02,,,,,,,
天平,j0729-09-02,j0749-05-04,,,,,,,
天平感宝,j0749-05-04,j0749-08-19,,,,,,,
天平勝宝,j0749-08-19,j0757-09-06,,,,,,,
天平宝字,j0757-09-06,j0765-02-01,,,,,,,
天平神護,j0765-02-01,j0767-09-13,,,,,,,
神護景雲,j0767-09-13,j0770-10-23,,,,,,,
宝亀,j0770-10-23,j0781-01-30,,,,,,,
天応,j0781-01-30,j0782-09-30,,,,,,,
延暦,j0782-09-30,j0806-06-08,,,,,,,
大同,j0806-06-08,j0810-10-20,,,,,,,
弘仁,j0810-10-20,j0824-02-08,,,,,,,
天長,j0824-02-08,j0834-02-14,,,,,,,
承和,j0834-02-14,j0848-07-16,,,,,,,
嘉祥,j0848-07-16,j0851-06-01,,,,,,,
仁寿,j0851-06-01,j0854-12-23,,,,,,,
斉衡,j0854-12-23,j0857-03-20,,,,,,,
天安,j0857-03-20,j0859-05-20,,,,,,,
貞観,j0859-05-20,j0877-06-01,,,,,,,
元慶,j0877-06-01,j0885-03-11,,,,,,,
仁和,j0885-03-11,j0889-05-30,,,,,,,
寛平,j0889-05-30,j0898-05-20,,,,,,,
昌泰,j0898-05-20,j0901-08-31,,,,,,,
延喜,j0901-08-31,j0923-05-29,,,,,,,
延長,j0923-05-29,j0931-05-16,,,,,,,
承平,j0931-05-16,j0938-06-22,,,,,,,
天慶,j0938-06-22,j0947-05-15,,,,,,,
天暦,j0947-05-15,j0957-11-21,,,,,,,
天徳,j0957-11-21,j0961-03-05,,,,,,,
応和,j0961-03-05,j0964-08-19,,,,,,,
康保,j0964-08-19,j0968-09-08,,,,,,,
安和,j0968-09-08,j0970-05-03,,,,,,,
天禄,j0970-05-03,j0974-01-16,,,,,,,
天延,j0974-01-16,j0976-08-11,,,,,,,
貞元,j0976-08-11,j0978-12-31,,,,,,,
天元,j0978-12-31,j0983-05-29,,,,,,,
永観,j0983-05-29,j0985-05-19,,,,,,,
寛和,j0985-05-19,j0987-05-05,,,,,,,
永延,j0987-05-05,j0989-09-10,,,,,,,
永祚,j0989-09-10,j0990-11-26,,,,,,,
正暦,j0990-11-26,j0995-03-25,,,,,,,
長徳,j0995-03-25,j0999-02-01,,,,,,,
長保,j0999-02-01,j1004-08-08,,,,,,,
寛弘,j1004-08-08,j1013-02-08,,,,,,,
長和,j1013-02-08,j1017-05-21,,,,,,,
寛仁,j1017-05-21,j1021-03-17,,,,,,,
治安,j1021-03-17,j1024-08-19,,,,,,,
万寿,j1024-08-19,j1028-08-18,,,,,,,
長元,j1028-08-18,j1037-05-09,,,,,,,
長暦,j1037-05-09,j1040-12-16,,,,,,,
長久,j1040-12-16,j1044-12-16,,,,,,,
寛徳,j1044-12-16,j1046-05-22,,,,,,,
永承,j1046-05-22,j1053-02-02,,,,,,,
天喜,j1053-02-02,j1058-09-19,,,,,,,
康平,j1058-09-19,j1065-09-04,,,,,,,
治暦,j1065-09-04,j1069-05-06,,,,,,,
延久,j1069-05-06,j1074-09-16,,,,,,,
承保,j1074-09-16,j1077-12-05,,,,,,,
承暦,j1077-12-05,j1081-03-22,,,,,,,
永保,j1081-03-22,j1084-03-15,,,,,,,
応徳,j1084-03-15,j1087-05-11,,,,,,,
寛治,j1087-05-11,j1095-01-23,,,,,,,
嘉保,j1095-01-23,j1097-01-03,,,,,,,
永長,j1097-01-03,j1097-12-27,,,,,,,
承徳,j1097-12-27,j1099-09-15,,,,,,,
康和,j1099-09-15,j1104-03-08,,,,,,,
長治,j1104-03-08,j1106-05-13,,,,,,,
嘉承,j1106-05-13,j1108-09-09,,,,,,,
天仁,j1108-09-09,j1110-07-31,,,,,,,
天永,j1110-07-31,j1113-08-25,,,,,,,
永久,j1113-08-25,j1118-04-25,,,,,,,
元永,j1118-04-25,j1120-05-09,,,,,,,
保安,j1120-05-09,j1124-05-18,,,,,,,
天治,j1124-05-18,j1126-02-15,,,,,,,
大治,j1126-02-15,j1131-02-28,,,,,,,
天承,j1131-02-28,j1132-09-21,,,,,,,
長承,j1132-09-21,j1135-06-10,,,,,,,
保延,j1135-06-10,j1141-08-13,,,,,,,
永治,j1141-08-13,j1142-05-25,,,,,,,
康治,j1142-05-25,j1144-03-28,,,,,,,
天養,j1144-03-28,j1145-08-12,,,,,,,
久安,j1145-08-12,j1151-02-14,,,,,,,
仁平,j1151-02-14,j1154-12-04,,,,,,,
久寿,j1154-12-04,j1156-05-18,,,,,,,
保元,j1156-05-18,j1159-05-09,,,,,,,
平治,j1159-05-09,j1160-02-18,,,,,,,
永暦,j1160-02-18,j1161-09-24,,,,,,,
応保,j1161-09-24,j1163-05-04,,,,,,,
長寛,j1163-05-04,j1165-07-14,,,,,,,
永万,j1165-07-14,j1166-09-23,,,,,,,
仁安,j1166-09-23,j1169-05-06,,,,,,,
嘉応,j1169-05-06,j1171-05-27,,,,,,,
承安,j1171-05-27,j1175-08-16,,,,,,,
安元,j1175-08-16,j1177-08-29,,,,,,,
