大宝元年（辛丑）,一月※,二月,三月,四月※,五月※,六月,七月※,八月※,九月,十月※,十一月,十二月,
ユリウス暦,701/2/13,3月14日,4月13日,5月13日,6月11日,7月10日,8月9日,9月7日,10月6日,11月5日,12月4日,702/1/3,
大宝二年（壬寅）,一月※,二月,三月,四月※,五月,六月※,七月,八月※,九月,十月※,十一月※,十二月,
ユリウス暦,702/2/2,3月3日,4月2日,5月2日,5月31日,6月30日,7月29日,8月28日,9月26日,10月26日,11月24日,12月23日,
大宝三年（癸卯）,一月,二月※,三月,四月※,閏四月,五月,六月※,七月,八月※,九月,十月※,十一月※,十二月
ユリウス暦,703/1/22,2月21日,3月22日,4月21日,5月20日,6月19日,7月19日,8月17日,9月16日,10月15日,11月14日,12月13日,704/1/11
大宝四年（甲辰）,一月※,二月,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
ユリウス暦,704/2/10,3月10日,4月9日,5月9日,6月7日,7月7日,8月5日,9月4日,10月4日,11月2日,12月2日,12月31日,
慶雲元年（甲辰）,一月※,二月,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
ユリウス暦,704/2/10,3月10日,4月9日,5月9日,6月7日,7月7日,8月5日,9月4日,10月4日,11月2日,12月2日,12月31日,
慶雲二年（乙巳）,一月※,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月,十二月※,
ユリウス暦,705/1/30,2月28日,3月29日,4月28日,5月27日,6月26日,7月25日,8月24日,9月23日,10月22日,11月21日,12月21日,
慶雲三年（丙午）,一月,閏一月※,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月,十二月※
ユリウス暦,706/1/19,2月18日,3月19日,4月17日,5月17日,6月15日,7月15日,8月13日,9月12日,10月12日,11月10日,12月10日,707/1/9
慶雲四年（丁未）,一月,二月※,三月※,四月,五月※,六月※,七月,八月,九月※,十月,十一月,十二月,
ユリウス暦,707/2/7,3月9日,4月7日,5月6日,6月5日,7月4日,8月2日,9月1日,10月1日,10月30日,11月29日,12月29日,
慶雲五年（戊申）,一月※,二月,三月※,四月※,五月,六月※,七月※,八月,閏八月※,九月,十月,十一月,十二月※
