享和元年（辛酉）,一月,二月※,三月,四月※,五月,六月※,七月,八月,九月※,十月,十一月※,十二月,
グレゴリオ暦,1801/2/13,3月15日,4月13日,5月13日,6月11日,7月11日,8月9日,9月8日,10月8日,11月6日,12月6日,1802/1/4,
ユリウス暦,1801/2/1,3月3日,4月1日,5月1日,5月30日,6月29日,7月28日,8月27日,9月26日,10月25日,11月24日,12月23日,
享和二年（壬戌）,一月※,二月,三月※,四月※,五月,六月※,七月,八月,九月,十月※,十一月,十二月※,
グレゴリオ暦,1802/2/3,3月4日,4月3日,5月2日,5月31日,6月30日,7月29日,8月28日,9月27日,10月27日,11月25日,12月25日,
ユリウス暦,1802/1/22,2月20日,3月22日,4月20日,5月19日,6月18日,7月17日,8月16日,9月15日,10月15日,11月13日,12月13日,
享和三年（癸亥）,一月,閏一月※,二月,三月※,四月※,五月,六月※,七月,八月,九月※,十月,十一月,十二月※
グレゴリオ暦,1803/1/23,2月22日,3月23日,4月22日,5月21日,6月19日,7月19日,8月17日,9月16日,10月16日,11月14日,12月14日,1804/1/13
ユリウス暦,1803/1/11,2月10日,3月11日,4月10日,5月9日,6月7日,7月7日,8月5日,9月4日,10月4日,11月2日,12月2日,1804/1/1
享和四年（甲子）,一月,二月※,三月,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月,
グレゴリオ暦,1804/2/11,3月12日,4月10日,5月10日,6月8日,7月7日,8月6日,9月4日,10月4日,11月2日,12月2日,1805/1/1,
ユリウス暦,1804/1/30,2/29,3月29日,4月28日,5月27日,6月25日,7月25日,8月23日,9月22日,10月21日,11月20日,12月20日,
文化元年（甲子）,一月,二月※,三月,四月※,五月※,六月,七月※,八月,九月※,十月,十一月,十二月,
グレゴリオ暦,1804/2/11,3月12日,4月10日,5月10日,6月8日,7月7日,8月6日,9月4日,10月4日,11月2日,12月2日,1805/1/1,
ユリウス暦,1804/1/30,2/29,3月29日,4月28日,5月27日,6月25日,7月25日,8月23日,9月22日,10月21日,11月20日,12月20日,
文化二年（乙丑）,一月※,二月,三月※,四月,五月※,六月※,七月※,八月,閏八月※,九月,十月,十一月,十二月※
グレゴリオ暦,1805/1/31,3月1日,3月31日,4月29日,5月29日,6月27日,7月26日,8月24日,9月23日,10月22日,11月21日,12月21日,1806/1/20
ユリウス暦,1805/1/19,2月17日,3月19日,4月17日,5月17日,6月15日,7月14日,8月12日,9月11日,10月10日,11月9日,12月9日,1806/1/8
文化三年（丙寅）,一月,二月,三月※,四月,五月※,六月※,七月※,八月,九月※,十月,十一月,十二月※,
グレゴリオ暦,1806/2/18,3月20日,4月19日,5月18日,6月17日,7月16日,8月14日,9月12日,10月12日,11月10日,12月10日,1807/1/9,
ユリウス暦,1806/2/6,3月8日,4月7日,5月6日,6月5日,7月4日,8月2日,8月31日,9月30日,10月29日,11月28日,12月28日,
文化四年（丁卯）,一月,二月,三月,四月※,五月,六月※,七月※,八月,九月※,十月※,十一月,十二月,
グレゴリオ暦,1807/2/7,3月9日,4月8日,5月8日,6月6日,7月6日,8月4日,9月2日,10月2日,10月31日,11月29日,12月29日,
ユリウス暦,1807/1/26,2月25日,3月27日,4月26日,5月25日,6月24日,7月23日,8月21日,9月20日,10月19日,11月17日,12月17日,
文化五年（戊辰）,一月※,二月,三月,四月※,五月,六月※,閏六月,七月※,八月,九月※,十月※,十一月,十二月※
